title_and_specs,author,urls,avg_rating,num_ratings,date_published,booktok_popularity,num_pages,top_genre,title,series_format
Ugly Love (Kindle Edition),COLLEEN HOOVER,https://www.goodreads.com/book/show/17788401-ugly-love,4.25,"                636,023",2014,12,337,Romance,UGLY LOVE,Kindle Edition
We Were Liars (Kindle Edition),E LOCKHART,https://www.goodreads.com/book/show/16143347-we-were-liars,3.75,"                837,692",2014,13,242,Young Adult,WE WERE LIARS,Kindle Edition
People We Meet on Vacation (Paperback),EMILY HENRY,https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation,4.01,"                491,516",2021,14,364,Romance,PEOPLE WE MEET ON VACATION,Paperback
The Spanish Love Deception (ebook),ELENA ARMAS,https://www.goodreads.com/book/show/54189398-the-spanish-love-deception,4.05,"                266,185",2021,15,487,Romance,THE SPANISH LOVE DECEPTION,ebook
The Hating Game (ebook),SALLY THORNE,https://www.goodreads.com/book/show/25883848-the-hating-game,4.02,"                469,656",2016,16,387,Romance,THE HATING GAME,ebook
Beach Read (Paperback),EMILY HENRY,https://www.goodreads.com/book/show/52867387-beach-read,4.06,"                455,261",2020,17,361,Romance,BEACH READ,Paperback
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",LEIGH BARDUGO,https://www.goodreads.com/book/show/10194157-shadow-and-bone,3.96,"                732,800",2012,18,358,Fantasy,SHADOW AND BONE,"The Shadow and Bone Trilogy, #1"
"The Inheritance Games (The Inheritance Games, #1)",JENNIFER LYNN BARNES,https://www.goodreads.com/book/show/52439531-the-inheritance-games,4.24,"                190,264",2020,19,376,Mystery,THE INHERITANCE GAMES,"The Inheritance Games, #1"
These Violent Delights (These Violent Delights #1),CHLOE GONG,https://www.goodreads.com/book/show/50892212-these-violent-delights,3.99,"                80,944",2020,20,449,Fantasy,THESE VIOLENT DELIGHTS,These Violent Delights #1
The Unhoneymooners (Paperback),CHRISTINA LAUREN,https://www.goodreads.com/book/show/42201431-the-unhoneymooners,4.0,"                427,700",2019,21,400,Romance,THE UNHONEYMOONERS,Paperback
Verity (ebook),COLLEEN HOOVER,https://www.goodreads.com/book/show/59344312-verity,4.43,"                802,261",2018,22,336,Thriller,VERITY,ebook
"Serpent & Dove (Serpent & Dove, #1)",SHELBY MAHURIN,https://www.goodreads.com/book/show/40024139-serpent-dove,4.03,"                199,859",2019,23,513,Fantasy,SERPENT & DOVE,"Serpent & Dove, #1"
"Caraval (Caraval, #1)",STEPHANIE GARBER,https://www.goodreads.com/book/show/27883214-caraval,4.0,"                267,208",2016,24,407,Fantasy,CARAVAL,"Caraval, #1"
Circe (Hardcover),MADELINE MILLER,https://www.goodreads.com/book/show/35959740-circe,4.26,"                676,655",2018,25,393,Fantasy,CIRCE,Hardcover
"Kingdom of the Wicked (Kingdom of the Wicked, #1)",KERRI MANISCALCO,https://www.goodreads.com/book/show/52735921-kingdom-of-the-wicked,3.97,"                123,856",2020,26,372,Fantasy,KINGDOM OF THE WICKED,"Kingdom of the Wicked, #1"
Punk 57 (Kindle Edition),PENELOPE DOUGLAS,https://www.goodreads.com/book/show/41021967-punk-57,3.88,"                217,951",2016,27,343,Romance,PUNK 57,Kindle Edition
"Dance of Thieves (Dance of Thieves, #1)",MARY E PEARSON,https://www.goodreads.com/book/show/35796008-dance-of-thieves,4.23,"                57,370",2018,28,512,Fantasy,DANCE OF THIEVES,"Dance of Thieves, #1"
"The Shadows Between Us (The Shadows Between Us, #1)",TRICIA LEVENSELLER,https://www.goodreads.com/book/show/35702241-the-shadows-between-us,3.9,"                114,496",2020,29,326,Fantasy,THE SHADOWS BETWEEN US,"The Shadows Between Us, #1"
"A Touch of Darkness (Hades & Persephone, #1)",SCARLETT ST CLAIR,https://www.goodreads.com/book/show/55215339-a-touch-of-darkness,3.85,"                111,686",2019,30,282,Fantasy,A TOUCH OF DARKNESS,"Hades & Persephone, #1"
"Shatter Me (Shatter Me, #1)",TAHEREH MAFI,https://www.goodreads.com/book/show/10429045-shatter-me,3.92,"                454,859",2011,31,338,Young Adult,SHATTER ME,"Shatter Me, #1"
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",HOLLY JACKSON,https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder,4.37,"                272,194",2019,32,433,Mystery,A GOOD GIRL'S GUIDE TO MURDER,"A Good Girl's Guide to Murder, #1"
"Red Queen (Red Queen, #1)",VICTORIA AVEYARD,https://www.goodreads.com/book/show/22328546-red-queen,4.03,"                796,398",2015,33,388,Fantasy,RED QUEEN,"Red Queen, #1"
The Midnight Library (Hardcover),MATT HAIG,https://www.goodreads.com/book/show/52578297-the-midnight-library,4.05,"                978,099",2020,34,288,Fiction,THE MIDNIGHT LIBRARY,Hardcover
"House of Earth and Blood (Crescent City, #1)",SARAH J MAAS,https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood,4.48,"                271,089",2020,35,803,Fantasy,HOUSE OF EARTH AND BLOOD,"Crescent City, #1"
"Throne of Glass (Throne of Glass, #1)",SARAH J MAAS,https://www.goodreads.com/book/show/7896527-throne-of-glass,4.19,"                845,287",2012,36,406,Fantasy,THRONE OF GLASS,"Throne of Glass, #1"
"We Hunt the Flame (Sands of Arawiya, #1)",HAFSAH FAIZAL,https://www.goodreads.com/book/show/36492488-we-hunt-the-flame,3.95,"                58,883",2019,37,472,Fantasy,WE HUNT THE FLAME,"Sands of Arawiya, #1"
Daisy Jones & The Six (Hardcover),TAYLOR JENKINS REID,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six,4.24,"                613,331",2019,38,355,Fiction,DAISY JONES & THE SIX,Hardcover
"Daughter of the Pirate King (Daughter of the Pirate King, #1)",TRICIA LEVENSELLER,https://www.goodreads.com/book/show/33643994-daughter-of-the-pirate-king,4.02,"                113,261",2017,39,311,Fantasy,DAUGHTER OF THE PIRATE KING,"Daughter of the Pirate King, #1"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",SARAH J MAAS,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,4.61,"                716,905",2016,40,624,Fantasy,A COURT OF MIST AND FURY,"A Court of Thorns and Roses, #2"
Normal People (Hardcover),SALLY ROONEY,https://www.goodreads.com/book/show/41057294-normal-people,3.84,"                839,409",2018,41,273,Fiction,NORMAL PEOPLE,Hardcover
The Priory of the Orange Tree (Kindle Edition),SAMANTHA SHANNON,https://www.goodreads.com/book/show/40275288-the-priory-of-the-orange-tree,4.23,"                96,990",2019,42,848,Fantasy,THE PRIORY OF THE ORANGE TREE,Kindle Edition
"One of Us Is Lying (One of Us is Lying, #1)",KAREN M MCMANUS,https://www.goodreads.com/book/show/58679358-one-of-us-is-lying,4.01,"                538,374",2017,43,416,Mystery,ONE OF US IS LYING,"One of Us is Lying, #1"
"Crooked Kingdom (Six of Crows, #2)",LEIGH BARDUGO,https://www.goodreads.com/book/show/22299763-crooked-kingdom,4.61,"                444,874",2016,44,561,Fantasy,CROOKED KINGDOM,"Six of Crows, #2"
"The Atlas Six (The Atlas, #1)",OLIVIE BLAKE,https://www.goodreads.com/book/show/50520939-the-atlas-six,3.91,"                52,136",2020,45,383,Fantasy,THE ATLAS SIX,"The Atlas, #1"
November 9 (Paperback),COLLEEN HOOVER,https://www.goodreads.com/book/show/25111004-november-9,4.33,"                363,015",2015,46,310,Romance,NOVEMBER 9,Paperback
To Kill a Kingdom (Hardcover),ALEXANDRA CHRISTO,https://www.goodreads.com/book/show/34499221-to-kill-a-kingdom,3.81,"                122,939",2018,47,344,Fantasy,TO KILL A KINGDOM,Hardcover
"The Deal (Off-Campus, #1)",ELLE KENNEDY,https://www.goodreads.com/book/show/24920901-the-deal,4.28,"                366,170",2015,48,342,Romance,THE DEAL,"Off-Campus, #1"
"It Happened One Summer (Bellinger Sisters, #1)",TESSA BAILEY,https://www.goodreads.com/book/show/55659629-it-happened-one-summer,4.1,"                157,596",2021,49,397,Romance,IT HAPPENED ONE SUMMER,"Bellinger Sisters, #1"
"Neon Gods (Dark Olympus, #1)",KATEE ROBERT,https://www.goodreads.com/book/show/54659771-neon-gods,3.75,"                84,438",2021,50,380,Romance,NEON GODS,"Dark Olympus, #1"
"Neon Gods (Dark Olympus, #1)",KATEE ROBERT,https://www.goodreads.com/book/show/54659771-neon-gods,3.75,"                84,438",2021,51,380,Romance,NEON GODS,"Dark Olympus, #1"
"A Court of Silver Flames (A Court of Thorns and Roses, #4)",SARAH J MAAS,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,4.4,"                316,371",2021,52,757,Fantasy,A COURT OF SILVER FLAMES,"A Court of Thorns and Roses, #4"
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",SARAH J MAAS,https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,4.43,"                573,354",2017,53,699,Fantasy,A COURT OF WINGS AND RUIN,"A Court of Thorns and Roses, #3"
Legendborn (The Legendborn Cycle #1),TRACY DEONN,https://www.goodreads.com/book/show/50892338-legendborn,4.42,"                57,584",2020,54,501,Fantasy,LEGENDBORN,The Legendborn Cycle #1
The House in the Cerulean Sea (Kindle Edition),TJ KLUNE,https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea,4.45,"                298,746",2020,55,394,Fantasy,THE HOUSE IN THE CERULEAN SEA,Kindle Edition
"The Wrath and the Dawn (The Wrath and the Dawn, #1)",RENÉE AHDIEH,https://www.goodreads.com/book/show/18798983-the-wrath-and-the-dawn,4.08,"                156,415",2015,56,404,Fantasy,THE WRATH AND THE DAWN,"The Wrath and the Dawn, #1"
A Little Life (Hardcover),HANYA YANAGIHARA,https://www.goodreads.com/book/show/22822858-a-little-life,4.33,"                353,385",2015,57,720,Fiction,A LITTLE LIFE,Hardcover
"The Sweetest Oblivion (Made, #1)",DANIELLE LORI,https://www.goodreads.com/book/show/39083635-the-sweetest-oblivion,4.11,"                122,060",2018,58,384,Romance,THE SWEETEST OBLIVION,"Made, #1"
"A Curse So Dark and Lonely (Cursebreakers, #1)",BRIGID KEMMERER,https://www.goodreads.com/book/show/43204703-a-curse-so-dark-and-lonely,4.04,"                113,086",2019,59,484,Fantasy,A CURSE SO DARK AND LONELY,"Cursebreakers, #1"
"The Wicked King (The Folk of the Air, #2)",HOLLY BLACK,https://www.goodreads.com/book/show/26032887-the-wicked-king,4.34,"                391,411",2019,60,336,Fantasy,THE WICKED KING,"The Folk of the Air, #2"
"Gild (The Plated Prisoner, #1)",RAVEN KENNEDY,https://www.goodreads.com/book/show/56483061-gild,3.67,"                51,257",2020,61,402,Fantasy,GILD,"The Plated Prisoner, #1"
One Last Stop (Paperback),CASEY MCQUISTON,https://www.goodreads.com/book/show/54860443-one-last-stop,4.04,"                127,356",2021,62,418,Romance,ONE LAST STOP,Paperback
"A Kingdom of Flesh and Fire (Blood and Ash, #2)",JENNIFER L ARMENTROUT,https://www.goodreads.com/book/show/54319549-a-kingdom-of-flesh-and-fire,4.45,"                193,411",2020,63,637,Fantasy,A KINGDOM OF FLESH AND FIRE,"Blood and Ash, #2"
"The Fine Print (Dreamland Billionaires, #1)",LAUREN ASHER,https://www.goodreads.com/book/show/57658071-the-fine-print,4.05,"                78,192",2021,64,448,Romance,THE FINE PRINT,"Dreamland Billionaires, #1"
"The Kiss Quotient (The Kiss Quotient, #1)",HELEN HOANG,https://www.goodreads.com/book/show/36199084-the-kiss-quotient,3.94,"                294,697",2018,65,323,Romance,THE KISS QUOTIENT,"The Kiss Quotient, #1"
The Secret History (Paperback),DONNA TARTT,https://www.goodreads.com/book/show/29044.The_Secret_History,4.14,"                444,436",1992,66,559,Fiction,THE SECRET HISTORY,Paperback
"The Bridge Kingdom (The Bridge Kingdom, #1)",DANIELLE L JENSEN,https://www.goodreads.com/book/show/53921926-the-bridge-kingdom,4.09,"                63,419",2018,67,356,Fantasy,THE BRIDGE KINGDOM,"The Bridge Kingdom, #1"
"The Queen of Nothing (The Folk of the Air, #3)",HOLLY BLACK,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing,4.37,"                343,641",2019,68,300,Fantasy,THE QUEEN OF NOTHING,"The Folk of the Air, #3"
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",BENJAMIN ALIRE SÁENZ,https://www.goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe,4.35,"                437,042",2012,69,384,Young Adult,ARISTOTLE AND DANTE DISCOVER THE SECRETS OF THE UNIVERSE,"Aristotle and Dante, #1"
"The Awakening (Zodiac Academy, #1)",CAROLINE PECKHAM,https://www.goodreads.com/book/show/46261182-the-awakening,3.99,"                58,464",2019,70,411,Fantasy,THE AWAKENING,"Zodiac Academy, #1"
Malibu Rising (Hardcover),TAYLOR JENKINS REID,https://www.goodreads.com/book/show/55404546-malibu-rising,4.08,"                439,519",2021,71,369,Fiction,MALIBU RISING,Hardcover
If We Were Villains (Hardcover),ML RIO,https://www.goodreads.com/book/show/30319086-if-we-were-villains,4.22,"                81,070",2017,72,354,Mystery,IF WE WERE VILLAINS,Hardcover
Where the Crawdads Sing (ebook),DELIA OWENS,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing,4.45,"                1,764,505",2018,73,384,Fiction,WHERE THE CRAWDADS SING,ebook
"Ninth House (Alex Stern, #1)",LEIGH BARDUGO,https://www.goodreads.com/book/show/43263680-ninth-house,4.04,"                172,643",2019,74,459,Fantasy,NINTH HOUSE,"Alex Stern, #1"
"Siege and Storm (The Shadow and Bone Trilogy, #2)",LEIGH BARDUGO,https://www.goodreads.com/book/show/14061955-siege-and-storm,3.86,"                459,804",2013,75,435,Fantasy,SIEGE AND STORM,"The Shadow and Bone Trilogy, #2"
"Furyborn (Empirium, #1)",CLAIRE LEGRAND,https://www.goodreads.com/book/show/34323570-furyborn,3.83,"                36,751",2018,76,501,Fantasy,FURYBORN,"Empirium, #1"
"Ruin and Rising (The Shadow and Bone Trilogy, #3)",LEIGH BARDUGO,https://www.goodreads.com/book/show/14061957-ruin-and-rising,4.03,"                390,173",2014,77,422,Fantasy,RUIN AND RISING,"The Shadow and Bone Trilogy, #3"
Heartless (Hardcover),MARISSA MEYER,https://www.goodreads.com/book/show/18584855-heartless,4.07,"                142,975",2016,78,453,Fantasy,HEARTLESS,Hardcover
"Legend (Legend, #1)",MARIE LU,https://www.goodreads.com/book/show/9275658-legend,4.16,"                479,218",2011,79,305,Young Adult,LEGEND,"Legend, #1"
"An Ember in the Ashes (An Ember in the Ashes, #1)",SABAA TAHIR,https://www.goodreads.com/book/show/27774758-an-ember-in-the-ashes,4.26,"                247,949",2015,80,446,Fantasy,AN EMBER IN THE ASHES,"An Ember in the Ashes, #1"
The Night Circus (Hardcover),ERIN MORGENSTERN,https://www.goodreads.com/book/show/9361589-the-night-circus,4.03,"                826,323",2011,81,387,Fantasy,THE NIGHT CIRCUS,Hardcover
"The Crown of Gilded Bones (Blood and Ash, #3)",JENNIFER L ARMENTROUT,https://www.goodreads.com/book/show/55240343-the-crown-of-gilded-bones,4.25,"                137,334",2021,82,645,Fantasy,THE CROWN OF GILDED BONES,"Blood and Ash, #3"
"The Poppy War (The Poppy War, #1)",RF KUANG,https://www.goodreads.com/book/show/35068705-the-poppy-war,4.12,"                117,537",2018,83,531,Fantasy,THE POPPY WAR,"The Poppy War, #1"
"Renegades (Renegades, #1)",MARISSA MEYER,https://www.goodreads.com/book/show/28421168-renegades,4.15,"                107,668",2017,84,552,Fantasy,RENEGADES,"Renegades, #1"
Den of Vipers (Kindle Edition),KA KNIGHT,https://www.goodreads.com/book/show/53544752-den-of-vipers,3.55,"                62,152",2020,85,654,Polyamorous,DEN OF VIPERS,Kindle Edition
"A Darker Shade of Magic (Shades of Magic, #1)",VE SCHWAB,https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic,4.07,"                275,901",2015,86,400,Fantasy,A DARKER SHADE OF MAGIC,"Shades of Magic, #1"
All the Bright Places (Hardcover),JENNIFER NIVEN,https://www.goodreads.com/book/show/18460392-all-the-bright-places,4.15,"                446,892",2015,87,378,Young Adult,ALL THE BRIGHT PLACES,Hardcover
"Crave (Crave, #1)",TRACY WOLFF,https://www.goodreads.com/book/show/45892228-crave,3.81,"                77,095",2020,88,592,Fantasy,CRAVE,"Crave, #1"
"Corrupt (Devil's Night, #1)",PENELOPE DOUGLAS,https://www.goodreads.com/book/show/58124274-corrupt,3.83,"                115,342",2015,89,516,Romance,CORRUPT,"Devil's Night, #1"
"Twisted Love (Twisted, #1)",ANA HUANG,https://www.goodreads.com/book/show/55817097-twisted-love,3.8,"                81,197",2021,90,360,Romance,TWISTED LOVE,"Twisted, #1"
Credence (Paperback),PENELOPE DOUGLAS,https://www.goodreads.com/book/show/49084724-credence,3.7,"                81,928",2020,91,470,Romance,CREDENCE,Paperback
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.1)",SARAH J MAAS,https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight,3.8,"                373,595",2018,92,272,Fantasy,A COURT OF FROST AND STARLIGHT,"A Court of Thorns and Roses, #3.1"
"King of Scars (King of Scars, #1)",LEIGH BARDUGO,https://www.goodreads.com/book/show/36307634-king-of-scars,4.18,"                135,976",2019,93,527,Fantasy,KING OF SCARS,"King of Scars, #1"
Love and Other Words (Hardcover),CHRISTINA LAUREN,https://www.goodreads.com/book/show/36206591-love-and-other-words,4.35,"                138,223",2018,94,432,Romance,LOVE AND OTHER WORDS,Hardcover
"Flock (The Ravenhood, #1)",KATE STEWART,https://www.goodreads.com/book/show/40748777-flock,4.14,"                52,040",2020,95,364,Romance,FLOCK,"The Ravenhood, #1"
All the Light We Cannot See (Hardcover),ANTHONY DOERR,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,4.32,"                1,299,590",2014,96,531,Historical,ALL THE LIGHT WE CANNOT SEE,Hardcover
A Winter's Promise (The Mirror Visitor #1),CHRISTELLE DABOS,https://www.goodreads.com/book/show/40969531-a-winter-s-promise,4.1,"                62,684",2013,97,492,Fantasy,A WINTER'S PROMISE,The Mirror Visitor #1
The Silent Patient (Hardcover),ALEX MICHAELIDES,https://www.goodreads.com/book/show/40097951-the-silent-patient,4.15,"                1,041,609",2019,98,325,Thriller,THE SILENT PATIENT,Hardcover
"Vicious (Villains, #1)",VE SCHWAB,https://www.goodreads.com/book/show/40874032-vicious,4.23,"                161,422",2013,99,366,Fantasy,VICIOUS,"Villains, #1"
The Book Thief (Hardcover),MARKUS ZUSAK,https://www.goodreads.com/book/show/19063.The_Book_Thief,4.38,"                2,184,345",2007,100,552,Historical,THE BOOK THIEF,Hardcover
Sorcery of Thorns (Hardcover),MARGARET ROGERSON,https://www.goodreads.com/book/show/42201395-sorcery-of-thorns,4.08,"                86,485",2019,101,456,Fantasy,SORCERY OF THORNS,Hardcover
A Thousand Boy Kisses (ebook),TILLIE COLE,https://www.goodreads.com/book/show/25912358-a-thousand-boy-kisses,4.18,"                83,127",2016,102,316,Romance,A THOUSAND BOY KISSES,ebook
Birthday Girl (ebook),PENELOPE DOUGLAS,https://www.goodreads.com/book/show/39555142-birthday-girl,4.02,"                122,206",2018,103,349,Romance,BIRTHDAY GIRL,ebook
Lore (Hardcover),ALEXANDRA BRACKEN,https://www.goodreads.com/book/show/53375824-lore,3.81,"                55,839",2021,104,480,Fantasy,LORE,Hardcover
All Your Perfects (Paperback),COLLEEN HOOVER,https://www.goodreads.com/book/show/38926487-all-your-perfects,4.3,"                185,577",2018,105,305,Romance,ALL YOUR PERFECTS,Paperback
Cemetery Boys (Hardcover),AIDEN THOMAS,https://www.goodreads.com/book/show/52339313-cemetery-boys,4.34,"                55,606",2020,106,344,Fantasy,CEMETERY BOYS,Hardcover
From Lukov with Love (Paperback),MARIANA ZAPATA,https://www.goodreads.com/book/show/37683751-from-lukov-with-love,4.37,"                118,975",2018,107,493,Romance,FROM LUKOV WITH LOVE,Paperback
Reminders of Him (Kindle Edition),COLLEEN HOOVER,https://www.goodreads.com/book/show/58341222-reminders-of-him,4.55,"                280,915",2022,108,335,Romance,REMINDERS OF HIM,Kindle Edition
"Heartstopper: Volume One (Heartstopper, #1)",ALICE OSEMAN,https://www.goodreads.com/book/show/40495957-heartstopper,4.55,"                328,737",2018,109,278,Sequential Art,HEARTSTOPPER: VOLUME ONE,"Heartstopper, #1"
"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",KERRI MANISCALCO,https://www.goodreads.com/book/show/40727470-stalking-jack-the-ripper,3.98,"                102,299",2016,110,337,Historical,STALKING JACK THE RIPPER,"Stalking Jack the Ripper, #1"
"The Maddest Obsession (Made, #2)",DANIELLE LORI,https://www.goodreads.com/book/show/40613322-the-maddest-obsession,4.34,"                71,895",2019,111,333,Romance,THE MADDEST OBSESSION,"Made, #2"
Cinderella Is Dead (ebook),KALYNN BAYRON,https://www.goodreads.com/book/show/43900612-cinderella-is-dead,3.73,"                42,627",2020,112,400,Fantasy,CINDERELLA IS DEAD,ebook
"Crier's War (Crier's War, #1)",NINA VARELA,https://www.goodreads.com/book/show/41951626-crier-s-war,4.16,"                24,482",2019,113,464,Fantasy,CRIER'S WAR,"Crier's War, #1"
"The Gilded Wolves (The Gilded Wolves, #1)",ROSHANI CHOKSHI,https://www.goodreads.com/book/show/39863498-the-gilded-wolves,3.74,"                34,758",2019,114,388,Fantasy,THE GILDED WOLVES,"The Gilded Wolves, #1"
Ace of Spades (Paperback),FARIDAH ÀBÍKÉ-ÍYÍMÍDÉ,https://www.goodreads.com/book/show/42603984-ace-of-spades,4.28,"                44,066",2021,115,470,Young Adult,ACE OF SPADES,Paperback
"Rhapsodic (The Bargainer, #1)",LAURA THALASSA,https://www.goodreads.com/book/show/25820414-rhapsodic,3.98,"                83,429",2016,116,326,Fantasy,RHAPSODIC,"The Bargainer, #1"
"Heir of Fire (Throne of Glass, #3)",SARAH J MAAS,https://www.goodreads.com/book/show/20613470-heir-of-fire,4.46,"                438,435",2014,117,565,Fantasy,HEIR OF FIRE,"Throne of Glass, #3"
"Crown of Midnight (Throne of Glass, #2)",SARAH J MAAS,https://www.goodreads.com/book/show/17167166-crown-of-midnight,4.36,"                516,776",2013,118,420,Fantasy,CROWN OF MIDNIGHT,"Throne of Glass, #2"
"These Hollow Vows (These Hollow Vows, #1)",LEXI RYAN,https://www.goodreads.com/book/show/53422971-these-hollow-vows,4.07,"                28,239",2021,119,464,Fantasy,THESE HOLLOW VOWS,"These Hollow Vows, #1"
"The City of Brass (The Daevabad Trilogy, #1)",SA CHAKRABORTY,https://www.goodreads.com/book/show/32718027-the-city-of-brass,4.13,"                78,396",2017,120,533,Fantasy,THE CITY OF BRASS,"The Daevabad Trilogy, #1"
Such a Fun Age (Hardcover),KILEY REID,https://www.goodreads.com/book/show/43923951-such-a-fun-age,3.83,"                409,795",2019,121,310,Fiction,SUCH A FUN AGE,Hardcover
"Fable (Fable, #1)",ADRIENNE YOUNG,https://www.goodreads.com/book/show/44012880-fable,4.08,"                55,573",2020,122,357,Fantasy,FABLE,"Fable, #1"
"Cinder (The Lunar Chronicles, #1)",MARISSA MEYER,https://www.goodreads.com/book/show/36381037-cinder,4.13,"                813,397",2012,123,400,Fantasy,CINDER,"The Lunar Chronicles, #1"
The Wall of Winnipeg and Me (Kindle Edition),MARIANA ZAPATA,https://www.goodreads.com/book/show/29367958-the-wall-of-winnipeg-and-me,4.29,"                157,741",2016,124,537,Romance,THE WALL OF WINNIPEG AND ME,Kindle Edition
"Throttled (Dirty Air, #1)",LAUREN ASHER,https://www.goodreads.com/book/show/53058846-throttled,3.88,"                46,841",2020,125,355,Romance,THROTTLED,"Dirty Air, #1"
"Addicted to You (Addicted, #1)",KRISTA RITCHIE,https://www.goodreads.com/book/show/55475442-addicted-to-you,3.85,"                71,132",2013,126,335,Romance,ADDICTED TO YOU,"Addicted, #1"
"Air Awakens (Air Awakens, #1)",ELISE KOVA,https://www.goodreads.com/book/show/23127048-air-awakens,4.01,"                39,923",2015,127,342,Fantasy,AIR AWAKENS,"Air Awakens, #1"
"The Darkest Temptation (Made, #3)",DANIELLE LORI,https://www.goodreads.com/book/show/56250307-the-darkest-temptation,4.15,"                55,323",hed ,128,410,Romance,THE DARKEST TEMPTATION,"Made, #3"
"Hooked (Never After, #1)",EMILY MCINTIRE,https://www.goodreads.com/book/show/58545703-hooked,3.92,"                39,305",2021,129,340,Romance,HOOKED,"Never After, #1"
"Promises and Pomegranates (Monsters & Muses, #1)",SAV R MILLER,https://www.goodreads.com/book/show/55921330-promises-and-pomegranates,3.53,"                22,275",2021,130,382,Romance,PROMISES AND POMEGRANATES,"Monsters & Muses, #1"
"Haunting Adeline (Cat and Mouse Duet, #1)",HD CARLTON,https://www.goodreads.com/book/show/58763686-haunting-adeline,4.14,"                21,870",2021,131,551,Dark,HAUNTING ADELINE,"Cat and Mouse Duet, #1"
"Desperate Measures (Wicked Villains, #1)",KATEE ROBERT,https://www.goodreads.com/book/show/44323708-desperate-measures,3.56,"                22,693",2019,132,230,Romance,DESPERATE MEASURES,"Wicked Villains, #1"
"A Deal with the Elf King (Married to Magic, #1)",ELISE KOVA,https://www.goodreads.com/book/show/55285911-a-deal-with-the-elf-king,3.77,"                52,045",2020,133,317,Fantasy,A DEAL WITH THE ELF KING,"Married to Magic, #1"
