title_and_specs,author,urls,avg_rating,num_ratings,date_published,booktok_popularity,num_pages,top_genre,title,series_format,rank,rank_last_week,weeks_on_list,primary_isbn13,publisher,description,book_image,amazon_product_url,week,nyt_list
Verity (ebook),COLLEEN HOOVER,https://www.goodreads.com/book/show/59344312-verity,4.43,"                802,261",2018,22.0,336,Thriller,VERITY,ebook,10.0,0.0,1.0,9781791392796,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg,https://www.amazon.com/dp/1791392792?tag=NYTBSREV-20,2021-08-29,Combined Print & E-Book Fiction
"Serpent & Dove (Serpent & Dove, #1)",SHELBY MAHURIN,https://www.goodreads.com/book/show/40024139-serpent-dove,4.03,"                199,859",2019,23.0,513,Fantasy,SERPENT & DOVE,"Serpent & Dove, #1",,,,,,,,,,
"Caraval (Caraval, #1)",STEPHANIE GARBER,https://www.goodreads.com/book/show/27883214-caraval,4.0,"                267,208",2016,24.0,407,Fantasy,CARAVAL,"Caraval, #1",2.0,0.0,1.0,9781250095251,Flatiron,"Scarlett realizes her dream of attending an annual audience-participation performance, but at what cost to her sister?",https://storage.googleapis.com/du-prd/books/images/9781250095251.jpg,https://www.amazon.com/Caraval-Stephanie-Garber/dp/1250095255?tag=NYTBSREV-20,2017-02-19,Young Adult Hardcover
Circe (Hardcover),MADELINE MILLER,https://www.goodreads.com/book/show/35959740-circe,4.26,"                676,655",2018,25.0,393,Fantasy,CIRCE,Hardcover,8.0,0.0,1.0,9780316556347,"Little, Brown","Zeus banishes Helios' daughter to an island, where she must choose between living with gods or mortals.",https://storage.googleapis.com/du-prd/books/images/9780316556347.jpg,https://www.amazon.com/Circe-Madeline-Miller/dp/0316556343?tag=NYTBSREV-20,2018-04-29,Combined Print & E-Book Fiction
"Kingdom of the Wicked (Kingdom of the Wicked, #1)",KERRI MANISCALCO,https://www.goodreads.com/book/show/52735921-kingdom-of-the-wicked,3.97,"                123,856",2020,26.0,372,Fantasy,KINGDOM OF THE WICKED,"Kingdom of the Wicked, #1",2.0,0.0,1.0,9780316428460,jimmy patterson,Emilia di Carlo seeks vengeance for the murder of her twin sister.,https://storage.googleapis.com/du-prd/books/images/9780316428460.jpg,https://www.amazon.com/dp/0316428469?tag=NYTBSREV-20,2020-11-15,Young Adult Hardcover
Punk 57 (Kindle Edition),PENELOPE DOUGLAS,https://www.goodreads.com/book/show/41021967-punk-57,3.88,"                217,951",2016,27.0,343,Romance,PUNK 57,Kindle Edition,,,,,,,,,,
"Dance of Thieves (Dance of Thieves, #1)",MARY E PEARSON,https://www.goodreads.com/book/show/35796008-dance-of-thieves,4.23,"                57,370",2018,28.0,512,Fantasy,DANCE OF THIEVES,"Dance of Thieves, #1",,,,,,,,,,
"The Shadows Between Us (The Shadows Between Us, #1)",TRICIA LEVENSELLER,https://www.goodreads.com/book/show/35702241-the-shadows-between-us,3.9,"                114,496",2020,29.0,326,Fantasy,THE SHADOWS BETWEEN US,"The Shadows Between Us, #1",,,,,,,,,,
"A Touch of Darkness (Hades & Persephone, #1)",SCARLETT ST CLAIR,https://www.goodreads.com/book/show/55215339-a-touch-of-darkness,3.85,"                111,686",2019,30.0,282,Fantasy,A TOUCH OF DARKNESS,"Hades & Persephone, #1",,,,,,,,,,
"Shatter Me (Shatter Me, #1)",TAHEREH MAFI,https://www.goodreads.com/book/show/10429045-shatter-me,3.92,"                454,859",2011,31.0,338,Young Adult,SHATTER ME,"Shatter Me, #1",,,,,,,,,,
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",HOLLY JACKSON,https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder,4.37,"                272,194",2019,32.0,433,Mystery,A GOOD GIRL'S GUIDE TO MURDER,"A Good Girl's Guide to Murder, #1",5.0,0.0,1.0,9781984896360,Delacorte,"While trying to solve a murder-suicide case for her senior project, Pip now finds her life in jeopardy.",https://storage.googleapis.com/du-prd/books/images/9781984896360.jpg,https://www.amazon.com/Good-Girls-Guide-Murder/dp/1984896369?tag=NYTBSREV-20,2020-02-23,Young Adult Hardcover
"Red Queen (Red Queen, #1)",VICTORIA AVEYARD,https://www.goodreads.com/book/show/22328546-red-queen,4.03,"                796,398",2015,33.0,388,Fantasy,RED QUEEN,"Red Queen, #1",3.0,0.0,1.0,9780062310637,HarperTeen,A girl with a special power lives in a kingdom divided between an underclass with red blood and an elite with silver.,https://storage.googleapis.com/du-prd/books/images/9780062310637.jpg,http://www.amazon.com/Red-Queen-Victoria-Aveyard/dp/0062310631?tag=NYTBSREV-20,2015-08-30,Young Adult Hardcover
The Midnight Library (Hardcover),MATT HAIG,https://www.goodreads.com/book/show/52578297-the-midnight-library,4.05,"                978,099",2020,34.0,288,Fiction,THE MIDNIGHT LIBRARY,Hardcover,15.0,0.0,1.0,9780525559474,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,https://storage.googleapis.com/du-prd/books/images/9780525559474.jpg,https://www.amazon.com/dp/0525559477?tag=NYTBSREV-20,2020-10-18,Combined Print & E-Book Fiction
"House of Earth and Blood (Crescent City, #1)",SARAH J MAAS,https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood,4.48,"                271,089",2020,35.0,803,Fantasy,HOUSE OF EARTH AND BLOOD,"Crescent City, #1",1.0,0.0,1.0,9781635574043,Bloomsbury,Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends.,https://storage.googleapis.com/du-prd/books/images/9781635574043.jpg,https://www.amazon.com/dp/1635574048?tag=NYTBSREV-20,2020-03-22,Combined Print & E-Book Fiction
"Throne of Glass (Throne of Glass, #1)",SARAH J MAAS,https://www.goodreads.com/book/show/7896527-throne-of-glass,4.19,"                845,287",2012,36.0,406,Fantasy,THRONE OF GLASS,"Throne of Glass, #1",,,,,,,,,,
"We Hunt the Flame (Sands of Arawiya, #1)",HAFSAH FAIZAL,https://www.goodreads.com/book/show/36492488-we-hunt-the-flame,3.95,"                58,883",2019,37.0,472,Fantasy,WE HUNT THE FLAME,"Sands of Arawiya, #1",5.0,0.0,1.0,9780374311544,"Farrar, Straus & Giroux",Zafira embarks on a quest to find an artifact that can restore magic to the land of Arawiya.,https://storage.googleapis.com/du-prd/books/images/9780374311544.jpg,https://www.amazon.com/We-Hunt-Flame-Sands-Arawiya/dp/0374311544?tag=NYTBSREV-20,2019-06-02,Young Adult Hardcover
Daisy Jones & The Six (Hardcover),TAYLOR JENKINS REID,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six,4.24,"                613,331",2019,38.0,355,Fiction,DAISY JONES & THE SIX,Hardcover,5.0,0.0,1.0,9781524798628,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.,https://storage.googleapis.com/du-prd/books/images/9781524798628.jpg,https://www.amazon.com/Daisy-Jones-Taylor-Jenkins-Reid/dp/1524798622?tag=NYTBSREV-20,2019-03-24,Combined Print & E-Book Fiction
"Daughter of the Pirate King (Daughter of the Pirate King, #1)",TRICIA LEVENSELLER,https://www.goodreads.com/book/show/33643994-daughter-of-the-pirate-king,4.02,"                113,261",2017,39.0,311,Fantasy,DAUGHTER OF THE PIRATE KING,"Daughter of the Pirate King, #1",,,,,,,,,,
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",SARAH J MAAS,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,4.61,"                716,905",2016,40.0,624,Fantasy,A COURT OF MIST AND FURY,"A Court of Thorns and Roses, #2",1.0,0.0,1.0,9781619634466,Bloomsbury,A sequel follows Feyre through the shadowy world of the Night Court.,https://storage.googleapis.com/du-prd/books/images/9781619634473.jpg,http://www.amazon.com/Court-Mist-Fury-Thorns-Roses-ebook/dp/B015FELXQ0?tag=NYTBSREV-20,2016-05-22,Young Adult Hardcover
Normal People (Hardcover),SALLY ROONEY,https://www.goodreads.com/book/show/41057294-normal-people,3.84,"                839,409",2018,41.0,273,Fiction,NORMAL PEOPLE,Hardcover,4.0,0.0,1.0,9781984822178,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,https://storage.googleapis.com/du-prd/books/images/9781984822178.jpg,https://www.amazon.com/Normal-People-Novel-Sally-Rooney/dp/1984822179?tag=NYTBSREV-20,2019-05-05,Combined Print & E-Book Fiction
The Priory of the Orange Tree (Kindle Edition),SAMANTHA SHANNON,https://www.goodreads.com/book/show/40275288-the-priory-of-the-orange-tree,4.23,"                96,990",2019,42.0,848,Fantasy,THE PRIORY OF THE ORANGE TREE,Kindle Edition,,,,,,,,,,
"One of Us Is Lying (One of Us is Lying, #1)",KAREN M MCMANUS,https://www.goodreads.com/book/show/58679358-one-of-us-is-lying,4.01,"                538,374",2017,43.0,416,Mystery,ONE OF US IS LYING,"One of Us is Lying, #1",5.0,0.0,1.0,9781524714680,Delacorte,"For five students, a detour into detention ends in murder.",https://storage.googleapis.com/du-prd/books/images/9781524714680.jpg,https://www.amazon.com/One-Us-Lying-Karen-McManus/dp/1524714682?tag=NYTBSREV-20,2017-07-09,Young Adult Hardcover
"Crooked Kingdom (Six of Crows, #2)",LEIGH BARDUGO,https://www.goodreads.com/book/show/22299763-crooked-kingdom,4.61,"                444,874",2016,44.0,561,Fantasy,CROOKED KINGDOM,"Six of Crows, #2",1.0,0.0,1.0,9781627792134,Holt,Kaz and his cohort set their sights on rescue and revenge in Ketterdam.,https://storage.googleapis.com/du-prd/books/images/9781627797917.jpg,http://www.amazon.com/Crooked-Kingdom-Sequel-Six-Crows/dp/1627792139?tag=NYTBSREV-20,2016-10-16,Young Adult Hardcover
"The Atlas Six (The Atlas, #1)",OLIVIE BLAKE,https://www.goodreads.com/book/show/50520939-the-atlas-six,3.91,"                52,136",2020,45.0,383,Fantasy,THE ATLAS SIX,"The Atlas, #1",14.0,0.0,1.0,9781250854513,Tor,Atlas Blakely recruits six candidates to fight for five spots in a secret society of magical academicians.,https://storage.googleapis.com/du-prd/books/images/9781250854513.jpg,https://www.amazon.com/dp/1250854512?tag=NYTBSREV-20,2022-03-20,Combined Print & E-Book Fiction
November 9 (Paperback),COLLEEN HOOVER,https://www.goodreads.com/book/show/25111004-november-9,4.33,"                363,015",2015,46.0,310,Romance,NOVEMBER 9,Paperback,10.0,0.0,1.0,9781501110351,Atria,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg,http://www.amazon.com/November-9-Novel-Colleen-Hoover-ebook/dp/B00UDCI1S8?tag=NYTBSREV-20,2015-11-29,Combined Print & E-Book Fiction
To Kill a Kingdom (Hardcover),ALEXANDRA CHRISTO,https://www.goodreads.com/book/show/34499221-to-kill-a-kingdom,3.81,"                122,939",2018,47.0,344,Fantasy,TO KILL A KINGDOM,Hardcover,,,,,,,,,,
"The Deal (Off-Campus, #1)",ELLE KENNEDY,https://www.goodreads.com/book/show/24920901-the-deal,4.28,"                366,170",2015,48.0,342,Romance,THE DEAL,"Off-Campus, #1",,,,,,,,,,
"It Happened One Summer (Bellinger Sisters, #1)",TESSA BAILEY,https://www.goodreads.com/book/show/55659629-it-happened-one-summer,4.1,"                157,596",2021,49.0,397,Romance,IT HAPPENED ONE SUMMER,"Bellinger Sisters, #1",,,,,,,,,,
"Neon Gods (Dark Olympus, #1)",KATEE ROBERT,https://www.goodreads.com/book/show/54659771-neon-gods,3.75,"                84,438",2021,50.0,380,Romance,NEON GODS,"Dark Olympus, #1",,,,,,,,,,
"Neon Gods (Dark Olympus, #1)",KATEE ROBERT,https://www.goodreads.com/book/show/54659771-neon-gods,3.75,"                84,438",2021,51.0,380,Romance,NEON GODS,"Dark Olympus, #1",,,,,,,,,,
"A Court of Silver Flames (A Court of Thorns and Roses, #4)",SARAH J MAAS,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,4.4,"                316,371",2021,52.0,757,Fantasy,A COURT OF SILVER FLAMES,"A Court of Thorns and Roses, #4",1.0,0.0,1.0,9781681196282,Bloomsbury,The fifth book in A Court of Thorns and Roses series. Nesta Archeron is forced into close quarters with a warrior named Cassian.,https://storage.googleapis.com/du-prd/books/images/9781681196282.jpg,https://www.amazon.com/dp/168119628X?tag=NYTBSREV-20,2021-03-07,Combined Print & E-Book Fiction
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",SARAH J MAAS,https://www.goodreads.com/book/show/50659472-a-court-of-wings-and-ruin,4.43,"                573,354",2017,53.0,699,Fantasy,A COURT OF WINGS AND RUIN,"A Court of Thorns and Roses, #3",,,,,,,,,,
Legendborn (The Legendborn Cycle #1),TRACY DEONN,https://www.goodreads.com/book/show/50892338-legendborn,4.42,"                57,584",2020,54.0,501,Fantasy,LEGENDBORN,The Legendborn Cycle #1,5.0,0.0,1.0,9781534441606,Margaret K. McElderry,A young girl battles grief and demonic forces on a college campus.,https://storage.googleapis.com/du-prd/books/images/9781534441606.jpg,https://www.amazon.com/dp/1534441603?tag=NYTBSREV-20,2020-10-04,Young Adult Hardcover
The House in the Cerulean Sea (Kindle Edition),TJ KLUNE,https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea,4.45,"                298,746",2020,55.0,394,Fantasy,THE HOUSE IN THE CERULEAN SEA,Kindle Edition,,,,,,,,,,
"The Wrath and the Dawn (The Wrath and the Dawn, #1)",RENÉE AHDIEH,https://www.goodreads.com/book/show/18798983-the-wrath-and-the-dawn,4.08,"                156,415",2015,56.0,404,Fantasy,THE WRATH AND THE DAWN,"The Wrath and the Dawn, #1",,,,,,,,,,
A Little Life (Hardcover),HANYA YANAGIHARA,https://www.goodreads.com/book/show/22822858-a-little-life,4.33,"                353,385",2015,57.0,720,Fiction,A LITTLE LIFE,Hardcover,,,,,,,,,,
"The Sweetest Oblivion (Made, #1)",DANIELLE LORI,https://www.goodreads.com/book/show/39083635-the-sweetest-oblivion,4.11,"                122,060",2018,58.0,384,Romance,THE SWEETEST OBLIVION,"Made, #1",,,,,,,,,,
"A Curse So Dark and Lonely (Cursebreakers, #1)",BRIGID KEMMERER,https://www.goodreads.com/book/show/43204703-a-curse-so-dark-and-lonely,4.04,"                113,086",2019,59.0,484,Fantasy,A CURSE SO DARK AND LONELY,"Cursebreakers, #1",7.0,0.0,1.0,9781681195087,Bloomsbury,"Harper is whisked away to the world of Emberfall where she meets the cursed Prince Rhen, who will turn into a monster unless he finds true love.",https://storage.googleapis.com/du-prd/books/images/9781681195087.jpg,https://www.amazon.com/Curse-So-Dark-Lonely/dp/1681195089?tag=NYTBSREV-20,2019-02-17,Young Adult Hardcover
"The Wicked King (The Folk of the Air, #2)",HOLLY BLACK,https://www.goodreads.com/book/show/26032887-the-wicked-king,4.34,"                391,411",2019,60.0,336,Fantasy,THE WICKED KING,"The Folk of the Air, #2",1.0,0.0,1.0,9780316310352,"Little, Brown",In this sequel to “The Cruel Prince” Jude secretly controls King Cardan and runs his kingdom.,https://storage.googleapis.com/du-prd/books/images/9780316310352.jpg,https://www.amazon.com/Wicked-King-Folk-Air/dp/0316310352?tag=NYTBSREV-20,2019-01-27,Young Adult Hardcover
"Gild (The Plated Prisoner, #1)",RAVEN KENNEDY,https://www.goodreads.com/book/show/56483061-gild,3.67,"                51,257",2020,61.0,402,Fantasy,GILD,"The Plated Prisoner, #1",,,,,,,,,,
One Last Stop (Paperback),CASEY MCQUISTON,https://www.goodreads.com/book/show/54860443-one-last-stop,4.04,"                127,356",2021,62.0,418,Romance,ONE LAST STOP,Paperback,5.0,0.0,1.0,9781250244499,St. Martin's Griffin,August meets the girl of her dreams on a New York subway only to find she’s from another time.,https://storage.googleapis.com/du-prd/books/images/9781250244499.jpg,https://www.amazon.com/dp/1250244498?tag=NYTBSREV-20,2021-06-20,Combined Print & E-Book Fiction
"A Kingdom of Flesh and Fire (Blood and Ash, #2)",JENNIFER L ARMENTROUT,https://www.goodreads.com/book/show/54319549-a-kingdom-of-flesh-and-fire,4.45,"                193,411",2020,63.0,637,Fantasy,A KINGDOM OF FLESH AND FIRE,"Blood and Ash, #2",,,,,,,,,,
"The Fine Print (Dreamland Billionaires, #1)",LAUREN ASHER,https://www.goodreads.com/book/show/57658071-the-fine-print,4.05,"                78,192",2021,64.0,448,Romance,THE FINE PRINT,"Dreamland Billionaires, #1",,,,,,,,,,
"The Kiss Quotient (The Kiss Quotient, #1)",HELEN HOANG,https://www.goodreads.com/book/show/36199084-the-kiss-quotient,3.94,"                294,697",2018,65.0,323,Romance,THE KISS QUOTIENT,"The Kiss Quotient, #1",,,,,,,,,,
The Secret History (Paperback),DONNA TARTT,https://www.goodreads.com/book/show/29044.The_Secret_History,4.14,"                444,436",1992,66.0,559,Fiction,THE SECRET HISTORY,Paperback,,,,,,,,,,
"The Bridge Kingdom (The Bridge Kingdom, #1)",DANIELLE L JENSEN,https://www.goodreads.com/book/show/53921926-the-bridge-kingdom,4.09,"                63,419",2018,67.0,356,Fantasy,THE BRIDGE KINGDOM,"The Bridge Kingdom, #1",,,,,,,,,,
"The Queen of Nothing (The Folk of the Air, #3)",HOLLY BLACK,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing,4.37,"                343,641",2019,68.0,300,Fantasy,THE QUEEN OF NOTHING,"The Folk of the Air, #3",,,,,,,,,,
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",BENJAMIN ALIRE SÁENZ,https://www.goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe,4.35,"                437,042",2012,69.0,384,Young Adult,ARISTOTLE AND DANTE DISCOVER THE SECRETS OF THE UNIVERSE,"Aristotle and Dante, #1",7.0,0.0,9.0,9781442408937,Simon & Schuster,,https://storage.googleapis.com/du-prd/books/images/9781442408937.jpg,https://www.amazon.com/dp/1442408936?tag=NYTBSREV-20,2022-01-02,Young Adult Paperback Monthly
"The Awakening (Zodiac Academy, #1)",CAROLINE PECKHAM,https://www.goodreads.com/book/show/46261182-the-awakening,3.99,"                58,464",2019,70.0,411,Fantasy,THE AWAKENING,"Zodiac Academy, #1",,,,,,,,,,
