avg_rating,count_ratings,num_pages,date_published,top_genre
"<span itemprop=""ratingValue"">
  3.84
</span>","<meta content=""838232"" itemprop=""ratingCount""/>",273 pages,"
            Published
        April 16th 2019
         by Hogarth Press

            ",Fiction
"<span itemprop=""ratingValue"">
  4.01
</span>","<meta content=""537518"" itemprop=""ratingCount""/>",416 pages,"
            Published
        November 30th 2021
         by Delacorte Press

            ",Mystery
"<span itemprop=""ratingValue"">
  4.23
</span>","<meta content=""96819"" itemprop=""ratingCount""/>",848 pages,"
            Published
        February 26th 2019
         by Bloomsbury Publishing

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.61
</span>","<meta content=""444482"" itemprop=""ratingCount""/>",561 pages,"
            Published
        September 27th 2016
         by Orion Children's Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.91
</span>","<meta content=""51823"" itemprop=""ratingCount""/>",383 pages,"
            Published
        January 31st 2020
        

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.33
</span>","<meta content=""361438"" itemprop=""ratingCount""/>",310 pages,"
            Published
        November 10th 2015
         by Atria Books

      ",Romance
"<span itemprop=""ratingValue"">
  3.81
</span>","<meta content=""122767"" itemprop=""ratingCount""/>",344 pages,"
            Published
        March 6th 2018
         by Feiwel & Friends

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.28
</span>","<meta content=""365430"" itemprop=""ratingCount""/>",342 pages,"
            Published
        February 24th 2015
         by Elle Kennedy Inc.

      ",Romance
"<span itemprop=""ratingValue"">
  4.10
</span>","<meta content=""1246848"" itemprop=""ratingCount""/>",336 pages,"
            Published
        April 24th 2012
         by HarperTeen

      ",Young Adult
"<span itemprop=""ratingValue"">
  4.09
</span>","<meta content=""156649"" itemprop=""ratingCount""/>",397 pages,"
            Published
        July 13th 2021
         by Avon

      ",Romance
"<span itemprop=""ratingValue"">
  3.75
</span>","<meta content=""84131"" itemprop=""ratingCount""/>",380 pages,"
            Published
        June 1st 2021
         by Sourcebooks Casablanca

      ",Romance
"<span itemprop=""ratingValue"">
  4.40
</span>","<meta content=""315758"" itemprop=""ratingCount""/>",757 pages,"
            Published
        February 16th 2021
         by Bloomsbury Publishing

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.43
</span>","<meta content=""572619"" itemprop=""ratingCount""/>",699 pages,"
            Published
        June 2nd 2020
         by Bloomsbury Publishing

            ",Fantasy
"<span itemprop=""ratingValue"">
  4.42
</span>","<meta content=""57492"" itemprop=""ratingCount""/>",501 pages,"
            Published
        September 15th 2020
         by Margaret K. McElderry Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.45
</span>","<meta content=""297907"" itemprop=""ratingCount""/>",394 pages,"
            Published
        March 17th 2020
         by Tor Books

            ",Fantasy
"<span itemprop=""ratingValue"">
  4.33
</span>","<meta content=""353023"" itemprop=""ratingCount""/>",720 pages,"
            Published
        March 10th 2015
         by Doubleday

      ",Fiction
"<span itemprop=""ratingValue"">
  4.11
</span>","<meta content=""121718"" itemprop=""ratingCount""/>",384 pages,"
            Published
        June 20th 2018
         by CreateSpace

      ",Romance
"<span itemprop=""ratingValue"">
  4.08
</span>","<meta content=""156345"" itemprop=""ratingCount""/>",404 pages,"
            Published
        May 12th 2015
         by G.P. Putnam's Sons Books for Young Readers

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.04
</span>","<meta content=""112986"" itemprop=""ratingCount""/>",484 pages,"
            Published
        January 29th 2019
         by Bloomsbury YA

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.34
</span>","<meta content=""390662"" itemprop=""ratingCount""/>",336 pages,"
            Published
        January 8th 2019
         by Little, Brown Books for Young Readers

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.67
</span>","<meta content=""51081"" itemprop=""ratingCount""/>",402 pages,"
            Published
        October 16th 2020
         by Raven Kennedy

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.04
</span>","<meta content=""126982"" itemprop=""ratingCount""/>",418 pages,"
            Published
        June 1st 2021
         by St. Martin's Griffin

      ",Romance
"<span itemprop=""ratingValue"">
  4.45
</span>","<meta content=""193114"" itemprop=""ratingCount""/>",637 pages,"
            Published
        September 1st 2020
         by Blue Box Press

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.05
</span>","<meta content=""77649"" itemprop=""ratingCount""/>",448 pages,"
            Published
        July 8th 2021
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.94
</span>","<meta content=""294203"" itemprop=""ratingCount""/>",323 pages,"
            Published
        June 5th 2018
         by Berkley

      ",Romance
"<span itemprop=""ratingValue"">
  4.14
</span>","<meta content=""444041"" itemprop=""ratingCount""/>",559 pages,"
            Published
        April 13th 2004
         by Vintage

            ",Fiction
"<span itemprop=""ratingValue"">
  4.09
</span>","<meta content=""63278"" itemprop=""ratingCount""/>",356 pages,"
            Published
        June 9th 2020
         by CLA

            ",Fantasy
"<span itemprop=""ratingValue"">
  4.37
</span>","<meta content=""342901"" itemprop=""ratingCount""/>",300 pages,"
            Published
        November 19th 2019
         by Little, Brown

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.35
</span>","<meta content=""436503"" itemprop=""ratingCount""/>",384 pages,"
            Published
        February 21st 2012
         by Simon & Schuster Books for Young Readers

      ",Young Adult
"<span itemprop=""ratingValue"">
  3.99
</span>","<meta content=""58293"" itemprop=""ratingCount""/>",411 pages,"
            Published
        August 2nd 2019
        

            ",Fantasy
"<span itemprop=""ratingValue"">
  4.22
</span>","<meta content=""80778"" itemprop=""ratingCount""/>",354 pages,"
            Published
        April 11th 2017
         by Flatiron Books

      ",Mystery
"<span itemprop=""ratingValue"">
  4.45
</span>","<meta content=""1761789"" itemprop=""ratingCount""/>",384 pages,"
            Published
        August 14th 2018
         by G.P. Putnam’s Sons

      ",Fiction
"<span itemprop=""ratingValue"">
  4.08
</span>","<meta content=""438058"" itemprop=""ratingCount""/>",369 pages,"
            Published
        June 1st 2021
         by Ballantine Books

            ",Fiction
"<span itemprop=""ratingValue"">
  4.04
</span>","<meta content=""172493"" itemprop=""ratingCount""/>",459 pages,"
            Published
        October 8th 2019
         by Flatiron Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.86
</span>","<meta content=""459476"" itemprop=""ratingCount""/>",435 pages,"
            Published
        June 4th 2013
         by Henry Holt and Company

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.83
</span>","<meta content=""36735"" itemprop=""ratingCount""/>",501 pages,"
            Published
        May 22nd 2018
         by Sourcebooks Fire

            ",Fantasy
"<span itemprop=""ratingValue"">
  4.03
</span>","<meta content=""389900"" itemprop=""ratingCount""/>",422 pages,"
            Published
        June 17th 2014
         by Henry Holt and Company

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.08
</span>","<meta content=""142876"" itemprop=""ratingCount""/>",453 pages,"
            Published
        November 8th 2016
         by Feiwel & Friends

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.16
</span>","<meta content=""479108"" itemprop=""ratingCount""/>",305 pages,"
            Published
        November 29th 2011
         by Putnam Juvenile

      ",Young Adult
"<span itemprop=""ratingValue"">
  4.26
</span>","<meta content=""247836"" itemprop=""ratingCount""/>",446 pages,"
            Published
        February 9th 2016
         by Razorbill

            ",Fantasy
"<span itemprop=""ratingValue"">
  4.03
</span>","<meta content=""825998"" itemprop=""ratingCount""/>",387 pages,"
            Published
        September 13th 2011
         by Doubleday

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.25
</span>","<meta content=""137079"" itemprop=""ratingCount""/>",645 pages,"
            Published
        April 20th 2021
         by Blue Box Press

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.12
</span>","<meta content=""117328"" itemprop=""ratingCount""/>",531 pages,"
            Published
        May 1st 2018
         by Harper Voyager

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.15
</span>","<meta content=""107576"" itemprop=""ratingCount""/>",552 pages,"
            Published
        November 7th 2017
         by Feiwel & Friends

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.55
</span>","<meta content=""62036"" itemprop=""ratingCount""/>",654 pages,"
            Published
        July 10th 2020
        

      ",Polyamorous
"<span itemprop=""ratingValue"">
  4.07
</span>","<meta content=""275720"" itemprop=""ratingCount""/>",400 pages,"
            Published
        February 24th 2015
         by Tor Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.15
</span>","<meta content=""446566"" itemprop=""ratingCount""/>",378 pages,"
            Published
        January 6th 2015
         by Knopf

      ",Young Adult
"<span itemprop=""ratingValue"">
  3.81
</span>","<meta content=""76870"" itemprop=""ratingCount""/>",592 pages,"
            Published
        April 7th 2020
         by Entangled: Teen

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.83
</span>","<meta content=""115052"" itemprop=""ratingCount""/>",516 pages,"
            Published
        May 2021
         by CreateSpace Independent Publishing Platform

            ",Romance
"<span itemprop=""ratingValue"">
  3.80
</span>","<meta content=""80657"" itemprop=""ratingCount""/>",360 pages,"
            Published
        April 29th 2021
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.70
</span>","<meta content=""81760"" itemprop=""ratingCount""/>",470 pages,"
            Published
        January 13th 2020
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.80
</span>","<meta content=""373107"" itemprop=""ratingCount""/>",272 pages,"
            Published
        June 2nd 2020
         by Bloomsbury Publishing

            ",Fantasy
"<span itemprop=""ratingValue"">
  4.18
</span>","<meta content=""135838"" itemprop=""ratingCount""/>",527 pages,"
            Published
        January 29th 2019
         by Imprint

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.35
</span>","<meta content=""137451"" itemprop=""ratingCount""/>",432 pages,"
            Published
        April 10th 2018
         by Gallery Books

      ",Romance
"<span itemprop=""ratingValue"">
  4.14
</span>","<meta content=""51906"" itemprop=""ratingCount""/>",364 pages,"
            Published
        July 28th 2020
         by Independently published

            ",Romance
"<span itemprop=""ratingValue"">
  4.32
</span>","<meta content=""1299068"" itemprop=""ratingCount""/>",531 pages,"
            Published
        May 6th 2014
         by Scribner

      ",Historical
"<span itemprop=""ratingValue"">
  4.10
</span>","<meta content=""62598"" itemprop=""ratingCount""/>",492 pages,"
            Published
        September 27th 2018
         by Europa Editions

            ",Fantasy
"<span itemprop=""ratingValue"">
  4.15
</span>","<meta content=""1040394"" itemprop=""ratingCount""/>",325 pages,"
            Published
        February 5th 2019
         by Celadon Books

      ",Thriller
"<span itemprop=""ratingValue"">
  4.23
</span>","<meta content=""161250"" itemprop=""ratingCount""/>",366 pages,"
            Published
        September 24th 2013
         by Tor Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.38
</span>","<meta content=""2183632"" itemprop=""ratingCount""/>",552 pages,"
            Published
        March 14th 2006
         by Alfred A. Knopf

      ",Historical
"<span itemprop=""ratingValue"">
  4.08
</span>","<meta content=""86398"" itemprop=""ratingCount""/>",456 pages,"
            Published
        June 4th 2019
         by Margaret K. McElderry Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.18
</span>","<meta content=""82903"" itemprop=""ratingCount""/>",316 pages,"
            Published
        March 15th 2016
        

      ",Romance
"<span itemprop=""ratingValue"">
  4.02
</span>","<meta content=""121943"" itemprop=""ratingCount""/>",349 pages,"
            Published
        April 17th 2018
         by Penelope Douglas LLC

            ",Romance
"<span itemprop=""ratingValue"">
  3.81
</span>","<meta content=""55727"" itemprop=""ratingCount""/>",480 pages,"
            Published
        January 5th 2021
         by Disney-Hyperion

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.30
</span>","<meta content=""184720"" itemprop=""ratingCount""/>",305 pages,"
            Published
        July 17th 2018
         by Atria Books

      ",Romance
"<span itemprop=""ratingValue"">
  4.34
</span>","<meta content=""55486"" itemprop=""ratingCount""/>",344 pages,"
            Published
        September 1st 2020
         by Swoon Reads

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.55
</span>","<meta content=""278755"" itemprop=""ratingCount""/>",335 pages,"
            Published
        January 18th 2022
         by Montlake

      ",Romance
"<span itemprop=""ratingValue"">
  4.37
</span>","<meta content=""118620"" itemprop=""ratingCount""/>",493 pages,"
            Published
        February 1st 2018
         by Mariana Zapata

      ",Romance
"<span itemprop=""ratingValue"">
  4.55
</span>","<meta content=""327349"" itemprop=""ratingCount""/>",278 pages,"
            Published
        October 2018
         by Selfpublished

      ",Sequential Art
"<span itemprop=""ratingValue"">
  3.98
</span>","<meta content=""102186"" itemprop=""ratingCount""/>",337 pages,"
            Published
        September 20th 2016
         by Jimmy Patterson

      ",Historical
"<span itemprop=""ratingValue"">
  4.34
</span>","<meta content=""71677"" itemprop=""ratingCount""/>",333 pages,"
            Published
        April 15th 2019
        

      ",Romance
"<span itemprop=""ratingValue"">
  4.16
</span>","<meta content=""24425"" itemprop=""ratingCount""/>",464 pages,"
            Published
        October 1st 2019
         by Quill Tree Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.73
</span>","<meta content=""42518"" itemprop=""ratingCount""/>",400 pages,"
            Published
        July 7th 2020
         by Bloomsbury YA

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.74
</span>","<meta content=""34723"" itemprop=""ratingCount""/>",388 pages,"
            Published
        January 15th 2019
         by Wednesday Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.28
</span>","<meta content=""43923"" itemprop=""ratingCount""/>",470 pages,"
            Published
        June 10th 2021
         by Usborne 

            ",Young Adult
"<span itemprop=""ratingValue"">
  3.98
</span>","<meta content=""83364"" itemprop=""ratingCount""/>",326 pages,"
            Published
        November 15th 2016
         by Lavabrook Publishing Group

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.46
</span>","<meta content=""438083"" itemprop=""ratingCount""/>",565 pages,"
            Published
        September 2nd 2014
         by Bloomsbury USA Childrens

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.36
</span>","<meta content=""516403"" itemprop=""ratingCount""/>",420 pages,"
            Published
        August 27th 2013
         by Bloomsbury USA Childrens

            ",Fantasy
"<span itemprop=""ratingValue"">
  4.07
</span>","<meta content=""28138"" itemprop=""ratingCount""/>",464 pages,"
            Published
        July 20th 2021
         by HMH

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.13
</span>","<meta content=""78309"" itemprop=""ratingCount""/>",533 pages,"
            Published
        November 14th 2017
         by Harper Voyager

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.83
</span>","<meta content=""409538"" itemprop=""ratingCount""/>",310 pages,"
            Published
        December 31st 2019
         by G.P. Putnam's Sons

      ",Fiction
"<span itemprop=""ratingValue"">
  4.08
</span>","<meta content=""55510"" itemprop=""ratingCount""/>",357 pages,"
            Published
        September 1st 2020
         by Wednesday Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.13
</span>","<meta content=""813189"" itemprop=""ratingCount""/>",400 pages,"
            Published
        2012
         by Feiwel & Friends

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.29
</span>","<meta content=""157432"" itemprop=""ratingCount""/>",537 pages,"
            Published
        February 28th 2016
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.88
</span>","<meta content=""46618"" itemprop=""ratingCount""/>",355 pages,"
            Published
        January 9th 2020
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.85
</span>","<meta content=""70902"" itemprop=""ratingCount""/>",335 pages,"
            Published
        May 22nd 2014
         by K.B. Ritchie

            ",Romance
"<span itemprop=""ratingValue"">
  4.01
</span>","<meta content=""39893"" itemprop=""ratingCount""/>",342 pages,"
            Published
        August 27th 2015
         by Silver Wing Press

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.15
</span>","<meta content=""55190"" itemprop=""ratingCount""/>",410 pages,"
            Published
        December 10th 2020
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.53
</span>","<meta content=""22197"" itemprop=""ratingCount""/>",382 pages,"
            Published
        August 10th 2021
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.56
</span>","<meta content=""22638"" itemprop=""ratingCount""/>",230 pages,"
            Published
        May 28th 2019
         by Trinkets and Tales LLC

      ",Romance
"<span itemprop=""ratingValue"">
  3.77
</span>","<meta content=""51933"" itemprop=""ratingCount""/>",317 pages,"
            Published
        November 6th 2020
         by Silver Wing Press

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.92
</span>","<meta content=""39074"" itemprop=""ratingCount""/>",340 pages,"
            Published
        September 7th 2021
        

            ",Romance
"<span itemprop=""ratingValue"">
  4.14
</span>","<meta content=""21716"" itemprop=""ratingCount""/>",551 pages,"
            Published
        August 12th 2021
        

      ",Dark
"<span itemprop=""ratingValue"">
  3.85
</span>","<meta content=""153986"" itemprop=""ratingCount""/>",498 pages,"
            Published
        November 5th 2019
         by Doubleday Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.33
</span>","<meta content=""214376"" itemprop=""ratingCount""/>",435 pages,"
            Published
        November 22nd 2016
         by Simon Schuster Books for Young Readers

      ",Young Adult
"<span itemprop=""ratingValue"">
  4.13
</span>","<meta content=""64272"" itemprop=""ratingCount""/>",416 pages,"
            Published
        August 30th 2016
         by Delacorte Press

      ",Young Adult
"<span itemprop=""ratingValue"">
  4.40
</span>","<meta content=""90068"" itemprop=""ratingCount""/>",592 pages,"
            Published
        March 30th 2021
         by Orion Children's Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.86
</span>","<meta content=""126689"" itemprop=""ratingCount""/>",373 pages,"
            Published
        November 5th 2019
         by Avon

      ",Romance
"<span itemprop=""ratingValue"">
  4.55
</span>","<meta content=""316726"" itemprop=""ratingCount""/>",689 pages,"
            Published
        September 6th 2016
         by Bloomsbury Children's Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.55
</span>","<meta content=""380638"" itemprop=""ratingCount""/>",648 pages,"
            Published
        September 1st 2015
         by Bloomsbury USA Childrens

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.97
</span>","<meta content=""49627"" itemprop=""ratingCount""/>",340 pages,"
            Published
        April 24th 2018
         by Wednesday Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.96
</span>","<meta content=""113690"" itemprop=""ratingCount""/>",492 pages,"
            Published
        July 8th 2014
         by Henry Holt

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.70
</span>","<meta content=""19346"" itemprop=""ratingCount""/>",480 pages,"
            Published
        March 3rd 2020
         by Katherine Tegen Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.05
</span>","<meta content=""325764"" itemprop=""ratingCount""/>",409 pages,"
            Published
        September 18th 2012
         by Scholastic Press

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.61
</span>","<meta content=""237743"" itemprop=""ratingCount""/>",984 pages,"
            Published
        October 23rd 2018
         by Bloomsbury YA

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.12
</span>","<meta content=""50904"" itemprop=""ratingCount""/>",454 pages,"
            Published
        July 29th 2021
        

      ",Romance
"<span itemprop=""ratingValue"">
  3.83
</span>","<meta content=""32995"" itemprop=""ratingCount""/>",304 pages,"
            Published
        November 9th 2021
         by Wednesday Books

      ",Romance
"<span itemprop=""ratingValue"">
  3.79
</span>","<meta content=""11821"" itemprop=""ratingCount""/>",563 pages,"
            Published
        January 20th 2020
         by Amazon Digital Services

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.78
</span>","<meta content=""48195"" itemprop=""ratingCount""/>",354 pages,"
            Published
        June 29th 2015
        

            ",Romance
"<span itemprop=""ratingValue"">
  3.57
</span>","<meta content=""71961"" itemprop=""ratingCount""/>",536 pages,"
            Published
        September 1st 2020
         by HarperTeen

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.23
</span>","<meta content=""110945"" itemprop=""ratingCount""/>",451 pages,"
            Published
        May 29th 2018
         by Flatiron Books

      ",Fantasy
